Energy,Total,Ps,Direct,Ann,Excitation ,Process,Threshold
277,0.5419,0,0.3383,2.99E-07,0.1371,,
278,0.5405,0,0.3375,2.99E-07,0.1367,,
279,0.5392,0,0.3368,2.98E-07,0.1363,,
280,0.5378,0,0.336,2.98E-07,0.1359,,
281,0.5365,0,0.3353,2.97E-07,0.1355,,
282,0.5351,0,0.3345,2.96E-07,0.1351,,
283,0.5338,0,0.3338,2.96E-07,0.1347,,
284,0.5324,0,0.3331,2.95E-07,0.1343,,
285,0.531,0,0.3323,2.95E-07,0.1339,,
286,0.5297,0,0.3316,2.94E-07,0.1335,,
287,0.5283,0,0.3309,2.94E-07,0.1331,,
288,0.527,0,0.3301,2.93E-07,0.1326,,
289,0.5257,0,0.3294,2.93E-07,0.1322,,
290,0.5245,0,0.3287,2.92E-07,0.1318,,
291,0.5232,0,0.328,2.92E-07,0.1314,,
292,0.5219,0,0.3272,2.91E-07,0.131,,
293,0.5207,0,0.3265,2.91E-07,0.1306,,
294,0.5194,0,0.3258,2.90E-07,0.1302,,
295,0.5181,0,0.3251,2.90E-07,0.1298,,
296,0.5169,0,0.3244,2.89E-07,0.1294,,
297,0.5156,0,0.3237,2.89E-07,0.129,,
298,0.5143,0,0.323,2.88E-07,0.1286,,
299,0.5131,0,0.3222,2.88E-07,0.1282,,
300,0.5118,0,0.3215,2.87E-07,0.1278,,
301,0.5106,0,0.3208,2.87E-07,0.1275,,
302,0.5094,0,0.3201,2.86E-07,0.1271,,
303,0.5083,0,0.3194,2.86E-07,0.1268,,
304,0.5071,0,0.3187,2.86E-07,0.1265,,
305,0.5059,0,0.318,2.85E-07,0.1262,,
306,0.5047,0,0.3174,2.85E-07,0.1258,,
307,0.5035,0,0.3167,2.84E-07,0.1255,,
308,0.5023,0,0.316,2.84E-07,0.1252,,
309,0.5011,0,0.3153,2.83E-07,0.1249,,
